,slp40,slp65,sam
2001-09-01,1016.22,981.77,34.450000000000045
2001-10-01,1015.52,981.18,34.34000000000003
2001-11-01,1015.73,982.48,33.25
2001-12-01,1012.33,983.18,29.15000000000009
2002-01-01,1014.82,986.17,28.65000000000009
2002-02-01,1015.6,981.28,34.32000000000005
2002-03-01,1012.62,991.85,20.769999999999982
2002-04-01,1017.08,985.38,31.700000000000045
2002-05-01,1012.32,992.58,19.74000000000001
2002-06-01,1013.08,989.85,23.230000000000018
2002-07-01,1014.0,989.98,24.019999999999982
2002-08-01,1016.37,984.68,31.690000000000055
2002-09-01,1011.63,988.03,23.600000000000023
2002-10-01,1010.7,992.0,18.700000000000045
2002-11-01,1013.68,986.27,27.409999999999968
2002-12-01,1012.78,983.5,29.279999999999973
2003-01-01,1013.47,992.43,21.040000000000077
2003-02-01,1015.55,990.12,25.42999999999995
2003-03-01,1017.07,988.87,28.200000000000045
2003-04-01,1017.82,984.98,32.84000000000003
2003-05-01,1015.8,988.65,27.149999999999977
2003-06-01,1012.63,996.52,16.110000000000014
2003-07-01,1015.68,985.15,30.529999999999973
2003-08-01,1015.82,978.23,37.59000000000003
2003-09-01,1012.08,984.15,27.930000000000064
2003-10-01,1015.63,985.35,30.279999999999973
2003-11-01,1012.77,984.72,28.049999999999955
2003-12-01,1013.1,994.18,18.920000000000073
2004-01-01,1014.77,985.02,29.75
2004-02-01,1012.72,990.9,21.82000000000005
2004-03-01,1014.85,981.53,33.32000000000005
2004-04-01,1016.47,985.37,31.100000000000023
2004-05-01,1013.83,989.23,24.600000000000023
2004-06-01,1013.5,982.97,30.529999999999973
2004-07-01,1017.12,982.32,34.799999999999955
2004-08-01,1014.23,983.57,30.659999999999968
2004-09-01,1015.62,979.48,36.139999999999986
2004-10-01,1014.33,984.45,29.879999999999995
2004-11-01,1012.17,986.85,25.319999999999936
2004-12-01,1010.87,990.87,20.0
2005-01-01,1014.23,988.75,25.480000000000018
2005-02-01,1014.97,983.07,31.899999999999977
2005-03-01,1015.93,986.52,29.409999999999968
2005-04-01,1018.6,982.55,36.05000000000007
2005-05-01,1013.05,988.55,24.5
2005-06-01,1014.72,994.22,20.5
2005-07-01,1013.6,988.15,25.450000000000045
2005-08-01,1014.92,983.38,31.539999999999964
2005-09-01,1015.27,984.3,30.970000000000027
2005-10-01,1014.55,983.5,31.049999999999955
2005-11-01,1014.65,986.4,28.25
